unix_t	window	slot	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	palm_y_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu	aim_pose
1789353338.0552	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1098	0.9996	-0.0352		0	0	0	0	1
1789353338.0661	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1064	0.9895	-0.1682		0	0	0	0	1
1789353338.0661	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1098	0.9996	-0.0348		0	0	0	0	1
1789353338.0772	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1686		0	0	0	0	1
1789353338.0772	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1098	0.9996	-0.0349		0	0	0	0	1
1789353338.0885	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1687		0	0	0	0	1
1789353338.0885	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1098	0.9996	-0.0346		0	0	0	0	1
1789353338.0997	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1687		0	0	0	0	1
1789353338.0997	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1098	0.9996	-0.0343		0	0	0	0	1
1789353338.1107	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1685		0	0	0	0	1
1789353338.1107	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1098	0.9996	-0.0334		0	0	0	0	1
1789353338.1216	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1686		0	0	0	0	1
1789353338.1216	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1098	0.9996	-0.0329		0	0	0	0	1
1789353338.1331	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1686		0	0	0	0	1
1789353338.1331	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1098	0.9996	-0.0324		0	0	0	0	1
1789353338.1438	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1685		0	0	0	0	1
1789353338.1438	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1098	0.9996	-0.0318		0	0	0	0	1
1789353338.1547	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1685		0	0	0	0	1
1789353338.1547	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1098	0.9996	-0.0317		0	0	0	0	1
1789353338.1662	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1684		0	0	0	0	1
1789353338.1662	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1098	0.9995	-0.0313		0	0	0	0	1
1789353338.1774	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9896	-0.1683		0	0	0	0	1
1789353338.1774	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0308		0	0	0	0	1
1789353338.1884	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1686		0	0	0	0	1
1789353338.1884	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0310		0	0	0	0	1
1789353338.1996	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1688		0	0	0	0	1
1789353338.1996	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0308		0	0	0	0	1
1789353338.2108	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1689		0	0	0	0	1
1789353338.2108	rest		R	1	0.0020	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0308		0	0	0	0	1
1789353338.2218	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1691		0	0	0	0	1
1789353338.2218	rest		R	1	0.0021	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0307		0	0	0	0	1
1789353338.2331	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9894	-0.1693		0	0	0	0	1
1789353338.2331	rest		R	1	0.0021	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0309		0	0	0	0	1
1789353338.2440	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9894	-0.1695		0	0	0	0	1
1789353338.2440	rest		R	1	0.0021	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0310		0	0	0	0	1
1789353338.2552	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9894	-0.1697		0	0	0	0	1
1789353338.2552	rest		R	1	0.0021	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0311		0	0	0	0	1
1789353338.2663	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9894	-0.1698		0	0	0	0	1
1789353338.2663	rest		R	1	0.0021	0.0028	0.0006	0.0021	0.1098	0.9995	-0.0311		0	0	0	0	1
1789353338.2773	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9893	-0.1700		0	0	0	0	1
1789353338.2773	rest		R	1	0.0021	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0305		0	0	0	0	1
1789353338.2882	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9893	-0.1702		0	0	0	0	1
1789353338.2882	rest		R	1	0.0021	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0304		0	0	0	0	1
1789353338.2996	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9893	-0.1703		0	0	0	0	1
1789353338.2996	rest		R	1	0.0021	0.0028	0.0006	0.0021	0.1099	0.9995	-0.0302		0	0	0	0	1
1789353338.3105	rest		L	1	0.0016	0.0023	0.0004	0.0039	0.1065	0.9892	-0.1709		0	0	0	0	1
