# память GPU процесса org.flamti.vrge.probe (PID 31747), период 1 с
# unix_время	тип	total_KB	mapped_KB	count
1789398336.741577426	vk_cmdbuffer	3024	3024	140
1789398336.741577426	vk_descriptorpo	528	528	10
1789398336.741577426	vk_device	212	212	10
1789398336.741577426	vk_devicememory	560856	491520	8
1789398336.741577426	vk_image	628	628	4
1789398336.741577426	vk_program	212	212	3
1789398336.741577426	vk_queue	8264	8264	3
1789398337.763991747	any(0)	660	84	13
1789398337.763991747	command	32	32	2
1789398337.763991747	gl	128	128	2
1789398337.763991747	vk_any	960	960	15
1789398337.763991747	vk_cmdbuffer	3024	3024	140
1789398337.763991747	vk_descriptorpo	528	528	10
1789398337.763991747	vk_device	212	212	10
1789398337.763991747	vk_devicememory	560856	491520	8
1789398337.763991747	vk_image	628	628	4
1789398337.763991747	vk_program	212	212	3
1789398337.763991747	vk_queue	8264	8264	3
1789398338.785573567	any(0)	660	84	13
1789398338.785573567	command	32	32	2
1789398338.785573567	gl	128	128	2
1789398338.785573567	vk_any	960	960	15
1789398338.785573567	vk_cmdbuffer	3024	3024	140
1789398338.785573567	vk_descriptorpo	528	528	10
1789398338.785573567	vk_device	212	212	10
1789398338.785573567	vk_devicememory	560856	491520	8
1789398338.785573567	vk_image	628	628	4
1789398338.785573567	vk_program	212	212	3
1789398338.785573567	vk_queue	8264	8264	3
1789398339.808133409	any(0)	660	84	13
1789398339.808133409	command	32	32	2
1789398339.808133409	gl	128	128	2
1789398339.808133409	vk_any	960	960	15
1789398339.808133409	vk_cmdbuffer	3024	3024	140
1789398339.808133409	vk_descriptorpo	528	528	10
1789398339.808133409	vk_device	212	212	10
1789398339.808133409	vk_devicememory	560856	491520	8
1789398339.808133409	vk_image	628	628	4
1789398339.808133409	vk_program	212	212	3
1789398339.808133409	vk_queue	8264	8264	3
1789398340.831283563	any(0)	660	84	13
1789398340.831283563	command	32	32	2
1789398340.831283563	gl	128	128	2
1789398340.831283563	vk_any	960	960	15
1789398340.831283563	vk_cmdbuffer	3024	3024	140
1789398340.831283563	vk_descriptorpo	528	528	10
1789398340.831283563	vk_device	212	212	10
1789398340.831283563	vk_devicememory	560856	491520	8
1789398340.831283563	vk_image	628	628	4
1789398340.831283563	vk_program	212	212	3
1789398340.831283563	vk_queue	8264	8264	3
1789398341.856714238	any(0)	660	84	13
1789398341.856714238	command	32	32	2
1789398341.856714238	gl	128	128	2
1789398341.856714238	vk_any	960	960	15
1789398341.856714238	vk_cmdbuffer	3024	3024	140
1789398341.856714238	vk_descriptorpo	528	528	10
1789398341.856714238	vk_device	212	212	10
1789398341.856714238	vk_devicememory	560856	491520	8
1789398341.856714238	vk_image	628	628	4
1789398341.856714238	vk_program	212	212	3
1789398341.856714238	vk_queue	8264	8264	3
1789398342.879597621	any(0)	660	84	13
1789398342.879597621	command	32	32	2
1789398342.879597621	gl	128	128	2
1789398342.879597621	vk_any	1024	1024	16
1789398342.879597621	vk_cmdbuffer	3024	3024	140
1789398342.879597621	vk_descriptorpo	560	560	12
1789398342.879597621	vk_device	212	212	10
1789398342.879597621	vk_devicememory	560856	491520	8
1789398342.879597621	vk_image	628	628	4
1789398342.879597621	vk_program	212	212	3
1789398342.879597621	vk_queue	8264	8264	3
1789398343.904966108	any(0)	660	84	13
1789398343.904966108	command	32	32	2
1789398343.904966108	gl	128	128	2
1789398343.904966108	vk_any	1024	1024	16
1789398343.904966108	vk_cmdbuffer	3024	3024	140
1789398343.904966108	vk_descriptorpo	560	560	12
1789398343.904966108	vk_device	212	212	10
1789398343.904966108	vk_devicememory	560856	491520	8
1789398343.904966108	vk_image	628	628	4
1789398343.904966108	vk_program	212	212	3
1789398343.904966108	vk_queue	8264	8264	3
1789398344.929600117	any(0)	660	84	13
1789398344.929600117	command	32	32	2
1789398344.929600117	gl	128	128	2
1789398344.929600117	vk_any	1024	1024	16
1789398344.929600117	vk_cmdbuffer	3024	3024	140
1789398344.929600117	vk_descriptorpo	560	560	12
1789398344.929600117	vk_device	212	212	10
1789398344.929600117	vk_devicememory	560856	491520	8
1789398344.929600117	vk_image	628	628	4
1789398344.929600117	vk_program	212	212	3
1789398344.929600117	vk_queue	8264	8264	3
1789398345.955664854	any(0)	660	84	13
1789398345.955664854	command	32	32	2
1789398345.955664854	gl	128	128	2
1789398345.955664854	vk_any	1024	1024	16
1789398345.955664854	vk_cmdbuffer	3024	3024	140
1789398345.955664854	vk_descriptorpo	592	592	14
1789398345.955664854	vk_device	212	212	10
1789398345.955664854	vk_devicememory	560856	491520	8
1789398345.955664854	vk_image	628	628	4
1789398345.955664854	vk_program	212	212	3
1789398345.955664854	vk_queue	8264	8264	3
1789398346.980192769	any(0)	660	84	13
1789398346.980192769	command	32	32	2
1789398346.980192769	gl	128	128	2
1789398346.980192769	vk_any	1024	1024	16
1789398346.980192769	vk_cmdbuffer	3024	3024	140
1789398346.980192769	vk_descriptorpo	592	592	14
1789398346.980192769	vk_device	212	212	10
1789398346.980192769	vk_devicememory	560856	491520	8
1789398346.980192769	vk_image	628	628	4
1789398346.980192769	vk_program	212	212	3
1789398346.980192769	vk_queue	8264	8264	3
1789398348.006616204	any(0)	660	84	13
1789398348.006616204	command	32	32	2
1789398348.006616204	gl	128	128	2
1789398348.006616204	vk_any	1024	1024	16
1789398348.006616204	vk_cmdbuffer	3024	3024	140
1789398348.006616204	vk_descriptorpo	592	592	14
1789398348.006616204	vk_device	212	212	10
1789398348.006616204	vk_devicememory	560856	491520	8
1789398348.006616204	vk_image	628	628	4
1789398348.006616204	vk_program	212	212	3
1789398348.006616204	vk_queue	8264	8264	3
1789398349.036971203	any(0)	660	84	13
1789398349.036971203	command	32	32	2
1789398349.036971203	gl	128	128	2
1789398349.036971203	vk_any	1024	1024	16
1789398349.036971203	vk_cmdbuffer	3024	3024	140
1789398349.036971203	vk_descriptorpo	608	608	15
1789398349.036971203	vk_device	212	212	10
1789398349.036971203	vk_devicememory	560856	491520	8
