# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789398301.389318331	492000000	56	0 27148209 61657569 125737205 978504962 2314985816 74444 76541 11845 1195928 
1789398301.689949924	492000000	56	0 27148209 61657569 125737205 978657551 2314985816 74444 76541 11845 1195928 
1789398301.990526308	492000000	49	0 27148209 61657569 125737205 978810589 2314985816 74444 76541 11845 1195928 
1789398302.289718890	456000000	49	0 27148209 61657569 125737205 978871480 2315081308 74444 76541 11845 1195928 
1789398302.593503139	456000000	49	0 27148209 61657569 125737205 978871480 2315252754 74444 76541 11845 1195928 
1789398302.893008950	456000000	54	0 27148209 61657569 125737205 978871480 2315422763 74444 76541 11845 1195928 
1789398303.188521583	456000000	54	0 27148209 61657569 125737205 978871480 2315595254 74444 76541 11845 1195928 
1789398303.485989686	456000000	54	0 27148209 61657569 125737205 978871480 2315768186 74444 76541 11845 1195928 
1789398303.789462841	456000000	54	0 27148209 61657569 125737205 978871480 2315946674 74444 76541 11845 1195928 
1789398304.091578288	456000000	57	0 27148209 61657569 125737205 978877277 2316065061 74444 76541 11845 1195928 
1789398304.388548891	492000000	57	0 27148209 61657569 125737205 979026727 2316065061 74444 76541 11845 1195928 
1789398304.691431421	492000000	57	0 27148209 61657569 125737205 979179746 2316065061 74444 76541 11845 1195928 
1789398304.991006503	492000000	47	0 27148209 61657569 125737205 979337231 2316065061 74444 76541 11845 1195928 
1789398305.294717731	456000000	47	0 27148209 61657569 125737205 979456653 2316108294 74444 76541 11845 1195928 
1789398305.595800261	456000000	47	0 27148209 61657569 125737205 979456653 2316286516 74444 76541 11845 1195928 
1789398305.892340030	456000000	56	0 27148209 61657569 125737205 979456653 2316464756 74444 76541 11845 1195928 
1789398306.195961935	456000000	56	0 27148209 61657569 125737205 979456653 2316643894 74444 76541 11845 1195928 
1789398306.498386288	456000000	56	0 27148209 61657569 125737205 979456653 2316823230 74444 76541 11845 1195928 
1789398306.804279444	456000000	56	0 27148209 61657569 125737205 979456653 2317006200 74444 76541 11845 1195928 
1789398307.103057651	456000000	59	0 27148209 61657569 125737205 979456653 2317150776 74444 76541 11845 1195928 
1789398307.397349815	492000000	59	0 27148209 61657569 125737205 979508692 2317249781 74444 76541 11845 1195928 
1789398307.696344064	492000000	59	0 27148209 61657569 125737205 979666206 2317249781 74444 76541 11845 1195928 
1789398308.001379407	492000000	50	0 27148209 61657569 125737205 979832386 2317249781 74444 76541 11845 1195928 
1789398308.300775166	492000000	50	0 27148209 61657569 125737205 980006724 2317249781 74444 76541 11845 1195928 
1789398308.599621758	456000000	50	0 27148209 61657569 125737205 980056836 2317378779 74444 76541 11845 1195928 
1789398308.900410486	456000000	58	0 27148209 61657569 125737205 980056836 2317563745 74444 76541 11845 1195928 
1789398309.202025933	456000000	58	0 27148209 61657569 125737205 980056836 2317749959 74444 76541 11845 1195928 
1789398309.503921015	456000000	58	0 27148209 61657569 125737205 980056836 2317938511 74444 76541 11845 1195928 
1789398309.804961201	456000000	58	0 27148209 61657569 125737205 980056836 2318120976 74444 76541 11845 1195928 
1789398310.100755814	456000000	61	0 27148209 61657569 125737205 980056836 2318300338 74444 76541 11845 1195928 
1789398310.397856468	456000000	61	0 27148209 61657569 125737205 980056836 2318415415 74444 76541 11845 1195928 
1789398310.696884623	456000000	61	0 27148209 61657569 125737205 980056836 2318599043 74444 76541 11845 1195928 
1789398311.010571217	456000000	54	0 27148209 61657569 125737205 980056836 2318801642 74444 76541 11845 1195928 
1789398311.313693487	456000000	54	0 27148209 61657569 125737205 980056836 2319009918 74444 76541 11845 1195928 
1789398311.618007111	456000000	54	0 27148209 61657569 125737205 980056836 2319224769 74444 76541 11845 1195928 
1789398311.925750475	456000000	68	0 27148209 61657569 125737205 980056836 2319440434 74444 76541 11845 1195928 
1789398312.229911807	456000000	68	0 27148209 61657569 125737205 980056836 2319651222 74444 76541 11845 1195928 
1789398312.534791369	456000000	68	0 27148209 61657569 125737205 980056836 2319863878 74444 76541 11845 1195928 
1789398312.840934837	456000000	68	0 27148209 61657569 125737205 980056836 2320076661 74444 76541 11845 1195928 
1789398313.144171325	456000000	69	0 27148209 61657569 125737205 980056836 2320286329 74444 76541 11845 1195928 
1789398313.444860522	456000000	69	0 27148209 61657569 125737205 980056836 2320423574 74444 76541 11845 1195928 
1789398313.744648781	456000000	69	0 27148209 61657569 125737205 980056836 2320611594 74444 76541 11845 1195928 
1789398314.050423030	456000000	59	0 27148209 61657569 125737205 980056836 2320812186 74444 76541 11845 1195928 
1789398314.357782071	456000000	59	0 27148209 61657569 125737205 980056836 2321028778 74444 76541 11845 1195928 
1789398314.659852935	456000000	59	0 27148209 61657569 125737205 980056836 2321248618 74444 76541 11845 1195928 
1789398314.966903434	456000000	70	0 27148209 61657569 125737205 980056836 2321464356 74444 76541 11845 1195928 
1789398315.266301745	456000000	70	0 27148209 61657569 125737205 980056836 2321660280 74444 76541 11845 1195928 
1789398315.566887140	456000000	70	0 27148209 61657569 125737205 980056836 2321855052 74444 76541 11845 1195928 
1789398315.867094305	456000000	67	0 27148209 61657569 125737205 980056836 2322076908 74444 76541 11845 1195928 
1789398316.178730482	456000000	67	0 27148209 61657569 125737205 980056836 2322296373 74444 76541 11845 1195928 
1789398316.482289470	456000000	67	0 27148209 61657569 125737205 980056836 2322503149 74444 76541 11845 1195928 
1789398316.790540855	492000000	67	0 27148209 61657569 125737205 980120158 2322569378 74444 76541 11845 1195928 
1789398317.088581041	492000000	61	0 27148209 61657569 125737205 980284549 2322569378 74444 76541 11845 1195928 
1789398317.383784508	492000000	61	0 27148209 61657569 125737205 980468554 2322569378 74444 76541 11845 1195928 
1789398317.679692402	492000000	61	0 27148209 61657569 125737205 980656027 2322569378 74444 76541 11845 1195928 
1789398317.981863838	456000000	60	0 27148209 61657569 125737205 980681557 2322747346 74444 76541 11845 1195928 
1789398318.285359806	456000000	60	0 27148209 61657569 125737205 980681557 2322947941 74444 76541 11845 1195928 
1789398318.586584524	456000000	60	0 27148209 61657569 125737205 980681557 2323155586 74444 76541 11845 1195928 
1789398318.886467783	456000000	67	0 27148209 61657569 125737205 980681557 2323359808 74444 76541 11845 1195928 
1789398319.186238750	456000000	67	0 27148209 61657569 125737205 980681557 2323558723 74444 76541 11845 1195928 
1789398319.486592842	456000000	67	0 27148209 61657569 125737205 980681557 2323757200 74444 76541 11845 1195928 
1789398319.786936310	456000000	67	0 27148209 61657569 125737205 980681557 2323874486 74444 76541 11845 1195928 
1789398320.089169725	492000000	58	0 27148209 61657569 125737205 980808033 2323937856 74444 76541 11845 1195928 
1789398320.388071161	492000000	58	0 27148209 61657569 125737205 980985356 2323937856 74444 76541 11845 1195928 
1789398320.689525619	492000000	58	0 27148209 61657569 125737205 981178237 2323937856 74444 76541 11845 1195928 
1789398320.988415805	456000000	61	0 27148209 61657569 125737205 981307068 2324006304 74444 76541 11845 1195928 
1789398321.288329272	456000000	61	0 27148209 61657569 125737205 981307068 2324212423 74444 76541 11845 1195928 
1789398321.586253260	456000000	61	0 27148209 61657569 125737205 981307068 2324419490 74444 76541 11845 1195928 
1789398321.885512873	456000000	68	0 27148209 61657569 125737205 981307068 2324623197 74444 76541 11845 1195928 
1789398322.181828007	456000000	68	0 27148209 61657569 125737205 981307068 2324827024 74444 76541 11845 1195928 
1789398322.486196527	456000000	68	0 27148209 61657569 125737205 981307068 2325031260 74444 76541 11845 1195928 
1789398322.788486296	456000000	68	0 27148209 61657569 125737205 981307068 2325227637 74444 76541 11845 1195928 
1789398323.093545441	456000000	64	0 27148209 61657569 125737205 981314573 2325345191 74444 76541 11845 1195928 
1789398323.392530419	492000000	64	0 27148209 61657569 125737205 981498971 2325345191 74444 76541 11845 1195928 
1789398323.691343626	492000000	64	0 27148209 61657569 125737205 981700457 2325345191 74444 76541 11845 1195928 
1789398323.990327718	492000000	59	0 27148209 61657569 125737205 981905908 2325345191 74444 76541 11845 1195928 
1789398324.296116447	456000000	59	0 27148209 61657569 125737205 981991311 2325482402 74444 76541 11845 1195928 
1789398324.592667622	456000000	59	0 27148209 61657569 125737205 981991311 2325706112 74444 76541 11845 1195928 
1789398324.893150829	456000000	72	0 27148209 61657569 125737205 981991311 2325924870 74444 76541 11845 1195928 
1789398325.191098619	456000000	72	0 27148209 61657569 125737205 981991311 2326143648 74444 76541 11845 1195928 
1789398325.495558545	456000000	72	0 27148209 61657569 125737205 981991311 2326358799 74444 76541 11845 1195928 
1789398325.790670918	456000000	72	0 27148209 61657569 125737205 981991311 2326577231 74444 76541 11845 1195928 
1789398326.089981782	456000000	72	0 27148209 61657569 125737205 981991311 2326700194 74444 76541 11845 1195928 
1789398326.386201030	492000000	72	0 27148209 61657569 125737205 982133148 2326757303 74444 76541 11845 1195928 
1789398326.685072622	492000000	72	0 27148209 61657569 125737205 982332429 2326757303 74444 76541 11845 1195928 
1789398326.980270099	492000000	59	0 27148209 61657569 125737205 982546635 2326757303 74444 76541 11845 1195928 
1789398327.279308098	492000000	59	0 27148209 61657569 125737205 982764900 2326757303 74444 76541 11845 1195928 
