# секунда	частота	CPU мс	GPU мс	draw calls
497	72.0	1.539	10.567	1600
498	72.0	1.659	10.403	1600
499	72.0	1.651	10.523	1600
500	72.0	1.683	10.577	1600
501	72.0	1.699	10.568	1600
502	72.0	1.721	10.375	1600
503	72.0	1.670	10.457	1600
504	72.0	1.599	10.516	1600
505	72.0	1.646	10.731	1600
506	72.0	1.593	10.586	1600
507	72.0	1.710	10.718	1600
508	72.0	1.796	10.791	1600
509	72.0	1.688	10.719	1600
510	72.0	1.696	10.449	1600
511	72.0	1.608	10.769	1600
512	72.0	1.631	10.732	1600
513	72.0	1.734	10.640	1600
514	72.0	1.303	10.450	1600
515	72.0	1.684	11.171	1600
516	72.0	1.564	10.739	1600
517	72.0	1.620	10.416	1600
518	72.0	1.577	10.977	1600
519	72.0	1.541	10.622	1600
520	72.0	1.536	10.706	1600
521	72.0	1.615	10.965	1600
522	72.0	1.672	10.975	1600
523	72.0	1.617	11.010	1600
524	72.0	1.675	10.478	1600
525	72.0	1.627	10.750	1600
526	72.0	1.641	10.764	1600
527	72.0	1.707	10.723	1600
528	72.0	1.809	10.725	1600
529	72.0	1.617	10.365	1600
530	72.0	1.718	10.918	1600
531	72.0	1.623	10.552	1600
532	72.0	1.740	11.084	1600
533	72.0	1.639	11.076	1600
534	72.0	1.622	11.038	1600
535	72.0	1.775	11.448	1600
536	72.0	1.673	11.015	1600
537	72.0	1.694	10.953	1600
538	72.0	1.581	10.705	1600
539	72.0	1.645	10.655	1600
540	72.0	1.604	10.420	1600
541	72.0	1.624	10.654	1600
542	72.0	1.589	10.852	1600
543	72.0	1.666	10.805	1600
544	72.0	1.548	10.680	1600
545	72.0	1.689	10.980	1600
546	72.0	1.644	10.859	1600
547	72.0	1.662	10.352	1600
548	72.0	1.563	9.741	1600
549	72.0	1.748	10.448	1600
550	72.0	1.683	10.938	1600
551	72.0	1.782	10.532	1600
552	72.0	1.624	10.179	1600
553	72.0	1.626	10.226	1600
554	72.0	1.658	10.376	1600
555	72.0	1.709	10.399	1600
556	72.0	1.633	10.578	1600
557	72.0	1.601	10.947	1600
558	72.0	1.710	11.374	1600
559	72.0	1.279	10.598	1600
560	72.0	1.663	10.850	1600
561	72.0	1.733	11.412	1600
562	72.0	1.599	10.415	1600
563	72.0	1.597	10.843	1600
564	72.0	1.683	10.597	1600
565	72.0	1.587	10.932	1600
566	72.0	1.621	10.890	1600
567	72.0	1.700	10.845	1600
568	72.0	1.623	10.916	1600
569	72.0	1.641	10.841	1600
570	72.0	1.652	10.349	1600
571	72.0	1.656	10.465	1600
572	72.0	1.628	10.755	1600
573	72.0	1.704	10.328	1600
574	72.0	1.610	10.373	1600
575	72.0	1.654	10.735	1600
576	72.0	1.826	10.833	1600
577	72.0	1.823	10.725	1600
578	72.0	1.714	11.171	1600
579	72.0	1.827	11.346	1600
580	72.0	1.608	8.824	1600
581	72.0	1.673	11.045	1600
582	72.0	1.651	10.342	1600
583	72.0	1.563	10.380	1600
584	72.0	1.568	10.482	1600
585	72.0	1.601	11.139	1600
586	72.0	1.750	11.228	1600
587	72.0	1.584	10.976	1600
588	72.0	1.645	10.795	1600
589	72.0	1.552	10.682	1600
590	72.0	1.770	11.051	1600
591	72.0	1.656	10.436	1600
592	72.0	1.598	10.371	1600
593	72.0	1.723	10.446	1600
594	72.0	1.849	11.221	1600
595	72.0	1.696	11.198	1600
596	72.0	1.741	10.682	1600
