unix_t	window	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu
1789352117.2193	rest	L	1	0.0017	0.0014	0.0009	0.0052	0.1091	0.9832		0	0	0	0
1789352117.2193	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9885		0	0	0	0
1789352117.2304	rest	L	1	0.0017	0.0014	0.0009	0.0053	0.1091	0.9832		0	0	0	0
1789352117.2304	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1088	0.9885		0	0	0	0
1789352117.2415	rest	L	1	0.0017	0.0014	0.0009	0.0053	0.1091	0.9831		0	0	0	0
1789352117.2415	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1088	0.9885		0	0	0	0
1789352117.2528	rest	L	1	0.0017	0.0014	0.0009	0.0053	0.1091	0.9830		0	0	0	0
1789352117.2528	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9886		0	0	0	0
1789352117.2636	rest	L	1	0.0017	0.0014	0.0009	0.0053	0.1091	0.9830		0	0	0	0
1789352117.2636	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9886		0	0	0	0
1789352117.2745	rest	L	1	0.0017	0.0014	0.0009	0.0053	0.1091	0.9829		0	0	0	0
1789352117.2745	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9887		0	0	0	0
1789352117.2858	rest	L	1	0.0017	0.0014	0.0009	0.0053	0.1091	0.9830		0	0	0	0
1789352117.2858	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9887		0	0	0	0
1789352117.2971	rest	L	1	0.0017	0.0014	0.0009	0.0054	0.1091	0.9830		0	0	0	0
1789352117.2971	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9888		0	0	0	0
1789352117.3081	rest	L	1	0.0017	0.0014	0.0009	0.0054	0.1091	0.9830		0	0	0	0
1789352117.3081	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9888		0	0	0	0
1789352117.3191	rest	L	1	0.0017	0.0014	0.0009	0.0054	0.1091	0.9830		0	0	0	0
1789352117.3191	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1090	0.9889		0	0	0	0
1789352117.3302	rest	L	1	0.0017	0.0014	0.0009	0.0054	0.1091	0.9827		0	0	0	0
1789352117.3302	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1090	0.9893		0	0	0	0
1789352117.3414	rest	L	1	0.0017	0.0014	0.0009	0.0055	0.1091	0.9826		0	0	0	0
1789352117.3414	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1090	0.9894		0	0	0	0
1789352117.3527	rest	L	1	0.0017	0.0014	0.0009	0.0055	0.1091	0.9826		0	0	0	0
1789352117.3527	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1091	0.9896		0	0	0	0
1789352117.3638	rest	L	1	0.0017	0.0014	0.0009	0.0055	0.1091	0.9827		0	0	0	0
1789352117.3638	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1090	0.9899		0	0	0	0
1789352117.3746	rest	L	1	0.0017	0.0014	0.0009	0.0056	0.1091	0.9828		0	0	0	0
1789352117.3746	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1090	0.9901		0	0	0	0
1789352117.3859	rest	L	1	0.0017	0.0014	0.0009	0.0056	0.1091	0.9828		0	0	0	0
1789352117.3859	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9903		0	0	0	0
1789352117.3970	rest	L	1	0.0017	0.0014	0.0009	0.0056	0.1091	0.9828		0	0	0	0
1789352117.3970	rest	R	1	0.0013	0.0021	0.0003	0.0047	0.1089	0.9905		0	0	0	0
