# секунда	частота	CPU мс	GPU мс	draw calls	клок GPU Гц	unix_время
378	90.0	0.873	6.462	800	-1	1789437670.486
379	90.0	0.770	6.473	800	-1	1789437671.497
380	90.0	1.142	6.863	800	-1	1789437672.497
381	90.0	0.774	6.457	800	-1	1789437673.497
382	90.0	0.833	6.469	800	-1	1789437674.497
383	90.0	0.786	6.800	800	-1	1789437675.497
384	90.0	0.732	6.545	800	-1	1789437676.509
385	90.0	0.856	6.820	800	-1	1789437677.508
386	90.0	0.725	6.559	800	-1	1789437678.509
387	90.0	0.721	6.535	800	-1	1789437679.520
388	90.0	0.844	6.500	800	-1	1789437680.520
389	90.0	0.833	6.442	800	-1	1789437681.520
390	90.0	0.822	6.457	800	-1	1789437682.520
391	90.0	0.836	6.760	800	-1	1789437683.520
392	90.0	0.946	6.763	800	-1	1789437684.520
393	90.0	0.843	6.808	800	-1	1789437685.520
394	90.0	1.090	6.805	800	-1	1789437686.520
395	90.0	0.787	6.438	800	-1	1789437687.521
396	90.0	0.839	6.785	800	-1	1789437688.521
397	90.0	1.299	6.877	800	-1	1789437689.521
398	90.0	0.783	6.491	800	-1	1789437690.521
399	90.0	0.826	6.439	800	-1	1789437691.532
400	90.0	0.883	6.446	800	-1	1789437692.533
401	90.0	0.786	6.513	800	-1	1789437693.532
402	90.0	0.933	6.792	800	-1	1789437694.532
403	90.0	0.760	6.522	800	-1	1789437695.533
404	90.0	0.814	6.475	800	-1	1789437696.533
405	90.0	0.831	6.587	800	-1	1789437697.544
406	90.0	0.882	6.916	800	-1	1789437698.543
407	90.0	0.871	6.874	800	-1	1789437699.544
408	90.0	1.082	6.883	800	-1	1789437700.544
409	90.0	0.899	6.696	800	-1	1789437701.544
410	90.0	0.812	6.548	800	-1	1789437702.544
411	90.0	0.789	6.679	800	-1	1789437703.544
412	90.0	0.793	6.617	800	-1	1789437704.545
413	90.0	0.807	6.568	800	-1	1789437705.545
414	90.0	0.757	6.590	800	-1	1789437706.544
415	90.0	0.792	6.599	800	-1	1789437707.545
416	90.0	0.811	6.580	800	-1	1789437708.545
417	90.0	0.787	6.568	800	-1	1789437709.545
418	90.0	0.827	6.491	800	-1	1789437710.556
419	90.0	0.865	6.771	800	-1	1789437711.555
420	90.0	0.907	6.814	800	-1	1789437712.556
421	90.0	0.725	6.820	800	-1	1789437713.556
422	90.0	0.803	6.764	800	-1	1789437714.556
423	90.0	1.006	6.816	800	-1	1789437715.556
424	90.0	1.177	6.820	800	-1	1789437716.556
425	90.0	0.809	6.466	800	-1	1789437717.556
426	90.0	0.715	6.483	800	-1	1789437718.556
427	90.0	0.728	6.459	800	-1	1789437719.556
428	90.0	0.800	6.769	800	-1	1789437720.556
429	90.0	0.800	6.464	800	-1	1789437721.556
430	90.0	0.812	6.558	800	-1	1789437722.568
431	90.0	0.776	6.796	800	-1	1789437723.568
432	90.0	0.763	6.435	800	-1	1789437724.568
433	90.0	0.820	6.784	800	-1	1789437725.568
434	90.0	0.774	6.445	800	-1	1789437726.569
435	90.0	0.778	6.454	800	-1	1789437727.568
436	90.0	0.766	6.452	800	-1	1789437728.569
437	90.0	0.770	6.470	800	-1	1789437729.569
438	90.0	0.807	6.534	800	-1	1789437730.580
439	90.0	0.855	6.464	800	-1	1789437731.591
440	90.0	0.917	6.863	800	-1	1789437732.591
441	90.0	1.352	6.889	800	-1	1789437733.591
442	90.0	0.909	6.787	800	-1	1789437734.602
443	90.0	0.664	6.480	800	-1	1789437735.602
444	90.0	0.776	6.494	800	-1	1789437736.602
445	90.0	1.085	6.807	800	-1	1789437737.602
446	90.0	0.829	6.458	800	-1	1789437738.603
447	90.0	0.998	6.830	800	-1	1789437739.602
448	90.0	0.863	6.477	800	-1	1789437740.603
449	90.0	1.165	6.866	800	-1	1789437741.614
450	90.0	0.880	6.787	800	-1	1789437742.614
451	90.0	0.847	6.594	800	-1	1789437743.625
452	90.0	0.830	6.728	800	-1	1789437744.625
453	90.0	0.785	6.933	800	-1	1789437745.625
454	90.0	0.822	6.580	800	-1	1789437746.625
455	90.0	0.788	6.683	800	-1	1789437747.625
456	90.0	0.793	6.558	800	-1	1789437748.625
457	90.0	0.885	6.905	800	-1	1789437749.625
458	90.0	0.811	6.582	800	-1	1789437750.625
459	90.0	0.859	6.620	800	-1	1789437751.625
460	90.0	0.884	6.930	800	-1	1789437752.625
461	90.0	1.210	7.043	800	-1	1789437753.625
462	90.0	0.903	6.622	800	-1	1789437754.626
463	90.0	0.852	6.898	800	-1	1789437755.625
464	90.0	0.856	6.619	800	-1	1789437756.626
465	90.0	0.861	6.636	800	-1	1789437757.626
466	90.0	1.279	6.912	800	-1	1789437758.626
467	90.0	0.906	6.708	800	-1	1789437759.627
468	90.0	0.859	6.788	800	-1	1789437760.637
469	90.0	1.186	6.871	800	-1	1789437761.637
470	90.0	0.872	6.856	800	-1	1789437762.637
471	90.0	1.150	6.836	800	-1	1789437763.637
472	90.0	0.878	6.814	800	-1	1789437764.638
473	90.0	1.280	6.967	800	-1	1789437765.637
474	90.0	0.856	6.869	800	-1	1789437766.637
475	90.0	1.093	6.850	800	-1	1789437767.637
476	90.0	1.242	6.867	800	-1	1789437768.638
477	90.0	0.715	6.469	800	-1	1789437769.638
478	90.0	0.886	6.797	800	-1	1789437770.638
479	90.0	0.726	6.479	800	-1	1789437771.639
480	90.0	1.075	6.830	800	-1	1789437772.638
481	90.0	0.806	6.750	800	-1	1789437773.639
482	90.0	0.769	6.785	800	-1	1789437774.639
483	90.0	0.758	7.665	800	-1	1789437775.649
484	90.0	0.767	6.460	800	-1	1789437776.650
485	90.0	0.781	6.450	800	-1	1789437777.650
486	90.0	0.811	6.765	800	-1	1789437778.650
487	90.0	0.785	6.451	800	-1	1789437779.650
488	90.0	0.771	6.562	800	-1	1789437780.661
489	90.0	0.770	6.464	800	-1	1789437781.661
490	90.0	0.761	6.549	800	-1	1789437782.673
491	90.0	0.862	6.779	800	-1	1789437783.672
492	90.0	0.918	6.483	800	-1	1789437784.673
493	90.0	0.712	6.507	800	-1	1789437785.673
494	90.0	0.907	6.870	800	-1	1789437786.684
495	90.0	0.800	6.470	800	-1	1789437787.684
496	90.0	0.767	6.491	800	-1	1789437788.695
497	90.0	0.763	6.505	800	-1	1789437789.695
498	90.0	0.767	6.477	800	-1	1789437790.695
499	90.0	0.691	6.504	800	-1	1789437791.695
500	90.0	0.689	6.516	800	-1	1789437792.696
501	90.0	0.790	6.704	800	-1	1789437793.707
502	90.0	1.216	6.837	800	-1	1789437794.718
503	90.0	0.817	6.771	800	-1	1789437795.718
504	90.0	0.835	6.792	800	-1	1789437796.718
505	90.0	0.869	6.446	800	-1	1789437797.729
506	90.0	1.101	6.850	800	-1	1789437798.730
507	90.0	1.006	6.823	800	-1	1789437799.729
508	90.0	0.841	6.788	800	-1	1789437800.729
509	90.0	0.883	6.468	800	-1	1789437801.729
510	90.0	0.714	6.796	800	-1	1789437802.729
511	90.0	0.792	6.459	800	-1	1789437803.730
512	90.0	0.792	6.460	800	-1	1789437804.730
513	90.0	0.781	6.489	800	-1	1789437805.730
514	90.0	0.800	6.446	800	-1	1789437806.730
515	90.0	0.798	6.555	800	-1	1789437807.741
516	90.0	0.696	6.835	800	-1	1789437808.752
517	90.0	0.875	6.803	800	-1	1789437809.752
518	90.0	0.854	6.842	800	-1	1789437810.752
519	90.0	0.747	6.483	800	-1	1789437811.753
520	90.0	0.796	6.435	800	-1	1789437812.764
521	90.0	0.807	6.442	800	-1	1789437813.764
522	90.0	0.817	6.445	800	-1	1789437814.764
523	90.0	0.828	6.806	800	-1	1789437815.775
524	90.0	0.826	6.769	800	-1	1789437816.775
525	90.0	0.794	6.445	800	-1	1789437817.775
