# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T23:51:33
1789498422.635	мастер_значение	globe	11.5	5.3	5.44	3	ball					cell_cm=5.3
1789498422.647	мастер_значение	globe	11.5	5.8	5.44	3	ball					cell_cm=5.8
1789498422.659	мастер_значение	globe	11.5	6.1	5.44	3	ball					cell_cm=6.1
1789498422.670	мастер_значение	globe	11.5	6.4	5.44	3	ball					cell_cm=6.4
1789498422.682	мастер_значение	globe	11.5	6.6	5.44	3	ball					cell_cm=6.6
1789498422.693	мастер_значение	globe	11.5	6.8	8.34	2	ball					cell_cm=6.8
1789498422.702	мастер_значение	globe	11.5	6.9	8.34	2	ball					cell_cm=6.9
1789498422.713	мастер_значение	globe	11.5	7.1	8.34	2	ball					cell_cm=7.1
1789498422.726	мастер_значение	globe	11.5	7.5	8.34	2	ball					cell_cm=7.5
1789498422.737	мастер_значение	globe	11.5	7.9	8.34	2	ball					cell_cm=7.9
1789498422.748	мастер_значение	globe	11.5	8.4	8.34	2	ball					cell_cm=8.4
1789498422.760	мастер_значение	globe	11.5	8.9	8.66	1	ball					cell_cm=8.9
1789498422.770	мастер_значение	globe	11.5	9.4	8.66	1	ball					cell_cm=9.4
1789498422.780	мастер_значение	globe	11.5	9.8	8.66	1	ball					cell_cm=9.8
1789498422.792	мастер_значение	globe	11.5	10.1	8.66	1	ball					cell_cm=10.1
1789498422.804	мастер_значение	globe	11.5	10.3	8.66	1	ball					cell_cm=10.3
1789498422.815	мастер_значение	globe	11.5	10.4	8.66	1	ball					cell_cm=10.4
1789498422.827	мастер_значение	globe	11.5	10.5	8.66	1	ball					cell_cm=10.5
1789498422.839	мастер_значение	globe	11.5	10.8	8.66	1	ball					cell_cm=10.8
1789498422.850	мастер_значение	globe	11.5	11.1	8.66	1	ball					cell_cm=11.1
1789498422.862	мастер_значение	globe	11.5	11.5	14.7	0	ball					cell_cm=11.5
1789498422.873	мастер_значение	globe	11.5	11.9	14.7	0	ball					cell_cm=11.9
1789498422.884	мастер_значение	globe	11.5	12.2	14.7	0	ball					cell_cm=12.2
1789498422.895	мастер_значение	globe	11.5	12.5	14.7	0	ball					cell_cm=12.5
1789498422.906	мастер_значение	globe	11.5	12.8	14.7	0	ball					cell_cm=12.8
1789498422.917	мастер_значение	globe	11.5	12.9	14.7	0	ball					cell_cm=12.9
1789498422.928	мастер_значение	globe	11.5	13.1	14.7	0	ball					cell_cm=13.1
1789498422.940	мастер_значение	globe	11.5	13.4	14.7	0	ball					cell_cm=13.4
1789498422.951	мастер_значение	globe	11.5	13.7	14.7	0	ball					cell_cm=13.7
1789498422.962	мастер_значение	globe	11.5	14.0	14.7	0	ball					cell_cm=14.0
1789498422.973	мастер_значение	globe	11.5	14.3	14.7	0	ball					cell_cm=14.3
1789498422.984	мастер_значение	globe	11.5	14.6	14.7	0	ball					cell_cm=14.6
1789498422.996	мастер_значение	globe	11.5	14.9	14.7	0	ball					cell_cm=14.9
1789498423.007	мастер_значение	globe	11.5	15.0	14.7	0	ball					cell_cm=15.0
1789498429.864	мастер_значение	globe	11.5	10.8	8.66	1	ball					cell_cm=10.8
1789498429.887	мастер_значение	globe	11.5	10.7	8.66	1	ball					cell_cm=10.7
1789498429.919	мастер_значение	globe	11.5	10.6	8.66	1	ball					cell_cm=10.6
1789498430.031	мастер_значение	globe	11.5	10.7	8.66	1	ball					cell_cm=10.7
1789498430.042	мастер_значение	globe	11.5	10.8	8.66	1	ball					cell_cm=10.8
