# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	ввод	профиль	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-20T11:28:12
1789885905.284	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				hide
1789885905.284	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				enter
1789885905.353	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				session_focussed кадр 18933
1789885907.008	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				show
1789885907.009	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				{ "do": "profile", "view": "browse", "folder": "profile_accounts", "action": "profile_account:openai" }
1789885907.287	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				session_visible кадр 19107
1789885908.884	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				hide
1789885908.884	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				enter
1789885908.943	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				session_focussed кадр 19256
1789885909.973	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "folder": "profile", "view": "browse", "items": 8, "total": 8, "page": 1, "pages": 1 }
1789885909.973	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "do": "reload", "view": "browse", "folder": "profile" }
1789885912.829	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings				{ "folder": "settings", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789885912.829	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings				{ "do": "reload", "view": "browse", "folder": "settings" }
1789885915.406	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings				{ "do": "redraw", "view": "browse", "folder": "settings" }
1789885916.431	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885916.432	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				{ "do": "reload", "view": "browse", "folder": "settings_sphere" }
1789885921.408	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere_adv				{ "folder": "settings_sphere_adv", "view": "browse", "items": 7, "total": 7, "page": 1, "pages": 1 }
1789885921.408	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere_adv				{ "do": "reload", "view": "browse", "folder": "settings_sphere_adv" }
1789885927.164	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885927.164	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				{ "do": "reload", "view": "browse", "folder": "settings_sphere" }
1789885928.441	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings				{ "folder": "settings", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789885928.441	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings				{ "do": "reload", "view": "browse", "folder": "settings" }
1789885930.530	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789885930.530	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					{ "do": "reload", "view": "browse", "folder": "" }
1789885931.864	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	files				{ "folder": "files", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789885931.864	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	files				{ "do": "reload", "view": "browse", "folder": "files" }
1789885934.059	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	bulk				{ "folder": "bulk", "view": "browse", "items": 90, "total": 128, "page": 1, "pages": 2 }
1789885934.060	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	bulk				{ "do": "reload", "view": "browse", "folder": "bulk" }
1789885943.786	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	bulk				hide
1789885943.786	панель_кнопка	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	bulk				профиль: cancel
1789885944.986	shake	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					{ "how": "shake", "from": "bulk" }
1789885944.987	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789885944.987	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					{ "do": "reload", "view": "browse", "folder": "" }
1789885949.486	сценарий_начат	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					4 шагов, осталось 4
1789885949.487	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					{ "do": "tasks", "view": "browse", "folder": "" }
1789885961.967	скриншот	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e			да		screenshot_2026-09-20_11-32-41.710.png, 1920×1080, 267739 байт, всего 3234406 (листинг), 257 мс
1789885961.967	сценарий_шаг	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e		screenshot	да	12481	
1789885964.122	скриншот	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e			да		screenshot_2026-09-20_11-32-43.854.png, 1920×1080, 282562 байт, всего 3516968 (листинг), 267 мс
1789885975.478	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings				{ "folder": "settings", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789885975.478	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings				{ "do": "reload", "view": "browse", "folder": "settings" }
1789885977.268	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885977.268	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				{ "do": "reload", "view": "browse", "folder": "settings_sphere" }
1789885979.802	настройка_открыта	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				cell_cm
1789885979.803	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				{ "do": "edit", "view": "browse", "folder": "settings_sphere", "setting": "cell_cm" }
1789885981.601	folder	globe	14.5	7.1	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.601	настройка_значение	globe	14.5	7.1	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=7.1
1789885981.614	folder	globe	14.5	7.2	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.614	настройка_значение	globe	14.5	7.2	6.85	3	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=7.2
1789885981.642	folder	globe	14.5	7.3	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.643	настройка_значение	globe	14.5	7.3	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=7.3
1789885981.666	folder	globe	14.5	7.4	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.666	настройка_значение	globe	14.5	7.4	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=7.4
1789885981.686	folder	globe	14.5	7.5	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.686	настройка_значение	globe	14.5	7.5	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=7.5
1789885981.720	folder	globe	14.5	7.6	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.720	настройка_значение	globe	14.5	7.6	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=7.6
1789885981.742	folder	globe	14.5	7.7	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.742	настройка_значение	globe	14.5	7.7	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=7.7
1789885981.755	folder	globe	14.5	7.8	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.755	настройка_значение	globe	14.5	7.8	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=7.8
1789885981.765	folder	globe	14.5	8.0	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.766	настройка_значение	globe	14.5	8.0	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=8.0
1789885981.798	folder	globe	14.5	8.1	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789885981.798	настройка_значение	globe	14.5	8.1	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				cell_cm=8.1
1789885981.818	folder	globe	14.5	8.0	7.57	2	face	controllers	p18fd0f41789e	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
